0.00,0.17,-0.58,15.00
1.02,0.06,-0.60,15.00
2.04,1.97,-0.78,15.00
3.06,2.58,0.03,15.00
4.08,2.69,-0.95,15.00
5.10,3.99,-0.39,15.00
6.12,5.22,-1.00,15.00
7.14,5.36,-0.80,15.00
8.16,7.34,-0.08,15.00
9.18,7.60,-0.59,15.00
10.20,7.32,-0.72,15.00
11.22,9.83,-0.71,15.00
12.24,10.22,0.51,15.00
13.27,10.58,0.15,15.00
14.29,10.14,0.45,15.00
15.31,9.34,2.03,15.00
16.33,9.91,3.82,15.00
17.35,9.76,3.18,15.00
18.37,9.57,5.18,15.00
19.39,9.42,5.41,15.00
20.41,10.03,6.74,15.00
21.43,10.77,7.49,15.00
22.45,9.88,7.55,15.00
23.47,9.48,8.03,15.00
24.49,9.38,9.39,15.00
25.51,9.80,10.84,15.00
26.53,8.62,9.01,15.00
27.55,8.30,10.51,15.00
28.57,6.45,9.79,15.00
29.59,6.40,9.43,15.00
30.61,5.77,10.73,15.00
31.63,4.70,10.14,15.00
32.65,3.38,10.11,15.00
33.67,3.63,9.79,15.00
34.69,2.43,9.48,15.00
35.71,1.57,9.02,15.00
36.73,1.16,10.03,15.00
37.76,0.16,10.34,15.00
38.78,0.47,9.69,15.00
39.80,0.55,8.25,15.00
40.82,-0.91,8.15,15.00
41.84,-0.55,5.86,15.00
42.86,-0.39,5.36,15.00
43.88,0.42,5.76,15.00
44.90,-0.73,4.15,15.00
45.92,0.21,3.28,15.00
46.94,-0.76,2.05,15.00
47.96,-0.44,1.13,15.00
48.98,0.55,-0.13,15.00
50.00,-0.96,0.38,15.00
