0.00,0.00,0.00,15.00
1.02,0.52,0.00,15.00
2.04,1.60,0.13,15.00
3.06,2.56,0.04,15.00
4.08,3.17,-0.13,15.00
5.10,4.18,-0.02,15.00
6.12,4.99,-0.11,15.00
7.14,5.61,0.00,15.00
8.16,6.62,-0.02,15.00
9.18,7.35,0.20,15.00
10.20,8.17,0.20,15.00
11.22,8.91,0.22,15.00
12.24,9.80,0.10,15.01
13.27,10.14,0.52,15.00
14.29,10.21,1.54,15.00
15.31,9.79,2.35,15.00
16.33,9.98,3.26,15.01
17.35,9.89,3.98,15.02
18.37,10.00,4.79,15.03
19.39,10.14,5.61,15.00
20.41,10.02,6.34,15.00
21.43,10.14,7.18,15.00
22.45,10.00,7.96,15.00
23.47,10.00,8.78,15.00
24.49,10.21,9.58,15.00
25.51,9.69,9.79,14.99
26.53,8.68,9.89,15.00
27.55,7.86,10.01,15.00
28.57,7.35,10.00,15.00
29.59,6.13,10.21,15.00
30.61,5.52,9.99,15.00
31.63,4.58,10.01,14.98
32.65,3.79,10.12,14.99
33.67,3.27,10.00,14.99
34.69,2.15,10.11,15.00
35.71,1.44,10.00,15.00
36.73,0.52,9.99,15.00
37.76,0.00,9.71,15.00
38.78,-0.11,8.98,15.00
39.80,0.01,8.37,15.00
40.82,0.01,7.25,15.00
41.84,-0.01,6.44,15.00
42.86,0.02,5.72,15.00
43.88,0.00,4.81,15.00
44.90,0.03,4.09,15.00
45.92,0.09,3.16,15.00
46.94,0.10,2.46,15.00
47.96,-0.11,1.54,15.00
48.98,-0.12,0.83,15.00
50.00,0.00,0.00,15.00
