0.00,0.00,0.00,1.20
1.02,0.82,0.00,1.20
2.04,1.63,0.00,1.20
3.06,2.45,0.00,1.20
4.08,3.27,0.00,1.20
5.10,4.08,0.00,1.20
6.12,4.90,0.00,1.20
7.14,5.71,0.00,1.20
8.16,6.53,0.00,1.20
9.18,7.35,0.00,1.20
10.20,8.16,0.00,1.20
11.22,8.98,0.00,1.20
12.24,9.80,0.00,1.20
13.27,10.00,0.61,1.20
14.29,10.00,1.43,1.20
15.31,10.00,2.24,1.20
16.33,10.00,3.06,1.20
17.35,10.00,3.88,1.20
18.37,10.00,4.69,1.20
19.39,10.00,5.51,1.20
20.41,10.00,6.33,1.20
21.43,10.00,7.14,1.20
22.45,10.00,7.96,1.20
23.47,10.00,8.78,1.20
24.49,10.00,9.59,1.20
25.51,9.59,10.00,1.20
26.53,8.78,10.00,1.20
27.55,7.96,10.00,1.20
28.57,7.14,10.00,1.20
29.59,6.33,10.00,1.20
30.61,5.51,10.00,1.20
31.63,4.69,10.00,1.20
32.65,3.88,10.00,1.20
33.67,3.06,10.00,1.20
34.69,2.24,10.00,1.20
35.71,1.43,10.00,1.20
36.73,0.61,10.00,1.20
37.76,0.00,9.80,1.20
38.78,0.00,8.98,1.20
39.80,0.00,8.16,1.20
40.82,0.00,7.35,1.20
41.84,0.00,6.53,1.20
42.86,0.00,5.71,1.20
43.88,0.00,4.90,1.20
44.90,0.00,4.08,1.20
45.92,0.00,3.27,1.20
46.94,0.00,2.45,1.20
47.96,0.00,1.63,1.20
48.98,0.00,0.82,1.20
50.00,0.00,0.00,1.20
