0.00, 0.00, 0.00
1.00, 0.00, 0.00
2.00, 0.00, 0.00
3.00, 0.00, 0.00
4.00, 0.00, 0.00
5.00, 0.00, 0.00
6.00, 0.00, 0.00
7.00, 0.00, 0.00
8.00, 0.00, 0.00
9.00, 0.00, 0.00
10.00, 0.00, 0.00
11.00, 0.05, 0.00
12.00, 0.20, 0.00
13.00, 0.45, 0.00
14.00, 0.80, 0.00
15.00, 1.25, 0.00
16.00, 1.70, 0.00
17.00, 2.35, 0.00
18.00, 3.10, 0.00
19.00, 4.00, 0.00
20.00, 4.90, 0.00
21.00, 5.70, 0.00
22.00, 6.40, 0.00
23.00, 7.10, 0.00
24.00, 7.80, 0.00
25.00, 8.50, 0.00
26.00, 9.20, 0.00
27.00, 9.90, 0.00
28.00, 10.60, 0.00
29.00, 11.30, 0.00
30.00, 12.00, 0.00
31.00, 12.70, 0.00
32.00, 13.40, 0.00
33.00, 14.10, 0.00
34.00, 14.80, 0.00
35.00, 15.50, 0.00
36.00, 16.20, 0.00
37.00, 16.90, 0.00
38.00, 17.60, 0.00
39.00, 18.30, 0.00
40.00, 19.00, 0.00
41.00, 19.70, 0.00
42.00, 20.40, 0.00
43.00, 21.10, 0.00
44.00, 21.80, 0.00
45.00, 22.50, 0.00
46.00, 23.20, 0.00
47.00, 23.90, 0.00
48.00, 24.60, 0.00
49.00, 25.30, 0.00
50.00, 26.00, 0.00
51.00, 26.70, 0.00
52.00, 27.40, 0.00
53.00, 28.10, 0.00
54.00, 28.80, 0.00
55.00, 29.50, 0.00
56.00, 30.20, 0.00
57.00, 30.90, 0.00
58.00, 31.60, 0.00
59.00, 32.30, 0.00
60.00, 33.00, 0.00
61.00, 33.65, 0.00
62.00, 34.20, 0.00
63.00, 34.65, 0.00
64.00, 35.00, 0.00
65.00, 35.25, 0.00
66.00, 35.40, 0.00
67.00, 35.45, 0.00
68.00, 35.45, 0.00
69.00, 35.45, 0.00
70.00, 35.45, 0.00
71.00, 35.45, 0.00
72.00, 35.45, 0.00
73.00, 35.45, 0.00
74.00, 35.45, 0.00
75.00, 35.45, 0.00
76.00, 35.45, 0.00
77.00, 35.45, 0.00
78.00, 35.45, 0.00
79.00, 35.45, 0.00
80.00, 35.45, 0.00
