0.00, 0.06, 0.00
1.00, -0.04, 0.00
2.00, 0.01, 0.00
3.00, 0.02, 0.00
4.00, 0.00, 0.00
5.00, -0.03, 0.00
6.00, -0.11, 0.00
7.00, 0.03, 0.00
8.00, -0.07, 0.00
9.00, -0.07, 0.00
10.00, -0.16, 0.00
11.00, 0.02, 0.00
12.00, 0.44, 0.00
13.00, 0.42, 0.00
14.00, 0.92, 0.00
15.00, 1.22, 0.00
16.00, 1.68, 0.00
17.00, 2.43, 0.00
18.00, 3.24, 0.00
19.00, 3.99, 0.00
20.00, 4.91, 0.00
21.00, 5.73, 0.00
22.00, 6.48, 0.00
23.00, 7.18, 0.00
24.00, 7.87, 0.00
25.00, 8.45, 0.00
26.00, 9.07, 0.00
27.00, 10.00, 0.00
28.00, 10.61, 0.00
29.00, 11.38, 0.00
30.00, 12.04, 0.00
31.00, 12.66, 0.00
32.00, 13.50, 0.00
33.00, 14.13, 0.00
34.00, 14.92, 0.00
35.00, 15.51, 0.00
36.00, 16.13, 0.00
37.00, 17.10, 0.00
38.00, 17.64, 0.00
39.00, 18.39, 0.00
40.00, 19.18, 0.00
41.00, 19.79, 0.00
42.00, 20.33, 0.00
43.00, 21.06, 0.00
44.00, 21.78, 0.00
45.00, 22.59, 0.00
46.00, 23.06, 0.00
47.00, 23.81, 0.00
48.00, 24.68, 0.00
49.00, 25.23, 0.00
50.00, 26.08, 0.00
51.00, 26.60, 0.00
52.00, 27.40, 0.00
53.00, 28.07, 0.00
54.00, 28.83, 0.00
55.00, 29.53, 0.00
56.00, 30.28, 0.00
57.00, 30.99, 0.00
58.00, 31.45, 0.00
59.00, 32.30, 0.00
60.00, 32.86, 0.00
61.00, 33.54, 0.00
62.00, 34.25, 0.00
63.00, 34.65, 0.00
64.00, 34.91, 0.00
65.00, 35.20, 0.00
66.00, 35.30, 0.00
67.00, 35.34, 0.00
68.00, 35.44, 0.00
69.00, 35.24, 0.00
70.00, 34.93, 0.00
71.00, 35.07, 0.00
72.00, 34.98, 0.00
73.00, 35.07, 0.00
74.00, 34.92, 0.00
75.00, 35.02, 0.00
76.00, 34.99, 0.00
77.00, 34.84, 0.00
78.00, 34.93, 0.00
79.00, 35.17, 0.00
80.00, 35.23, 0.00
